rosbag record -o high /vis/odom_pose /vis/traj_path /vis/traj_pose /vis/odom_pose
t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz
1.2100,0.241026,0.230430,1.500000,0.448208,0.429089,0.000000,0.296188,0.285752,0.000000,0.763609,0.002559,0.927994,0.000000,0.000000,0.372595
1.2200,0.245523,0.234735,1.500000,0.451137,0.431915,0.000000,0.289602,0.279504,0.000000,0.763634,0.002592,0.927989,0.000000,0.000000,0.372607
1.2300,0.250048,0.239068,1.500000,0.454000,0.434679,0.000000,0.282936,0.273180,0.000000,0.763661,0.002626,0.927984,0.000000,0.000000,0.372620
1.2400,0.254602,0.243429,1.500000,0.456795,0.437379,0.000000,0.276193,0.266781,0.000000,0.763687,0.002660,0.927979,0.000000,0.000000,0.372632
1.2500,0.259184,0.247816,1.500000,0.459523,0.440014,0.000000,0.269372,0.260309,0.000000,0.763714,0.002694,0.927974,0.000000,0.000000,0.372644
1.2600,0.263793,0.252229,1.500000,0.462182,0.442585,0.000000,0.262477,0.253766,0.000000,0.763741,0.002730,0.927969,0.000000,0.000000,0.372657
1.2700,0.268427,0.256667,1.500000,0.464772,0.445089,0.000000,0.255509,0.247152,0.000000,0.763768,0.002766,0.927964,0.000000,0.000000,0.372670
1.2800,0.273088,0.261130,1.500000,0.467292,0.447527,0.000000,0.248469,0.240470,0.000000,0.763796,0.002803,0.927959,0.000000,0.000000,0.372682
1.2900,0.277773,0.265617,1.500000,0.469742,0.449898,0.000000,0.241359,0.233722,0.000000,0.763824,0.002840,0.927954,0.000000,0.000000,0.372696
1.3000,0.282482,0.270128,1.500000,0.472119,0.452202,0.000000,0.234181,0.226908,0.000000,0.763853,0.002879,0.927948,0.000000,0.000000,0.372709
1.3100,0.287215,0.274661,1.500000,0.474425,0.454436,0.000000,0.226937,0.220030,0.000000,0.763882,0.002918,0.927943,0.000000,0.000000,0.372722
1.3200,0.291971,0.279217,1.500000,0.476658,0.456602,0.000000,0.219628,0.213090,0.000000,0.763911,0.002958,0.927937,0.000000,0.000000,0.372736
1.3300,0.296748,0.283793,1.500000,0.478817,0.458698,0.000000,0.212255,0.206090,0.000000,0.763941,0.002998,0.927932,0.000000,0.000000,0.372750
1.3400,0.301547,0.288390,1.500000,0.480903,0.460724,0.000000,0.204822,0.199031,0.000000,0.763971,0.003040,0.927926,0.000000,0.000000,0.372764
1.3500,0.306366,0.293007,1.500000,0.482914,0.462678,0.000000,0.197328,0.191914,0.000000,0.764002,0.003082,0.927921,0.000000,0.000000,0.372778
1.3600,0.311205,0.297644,1.500000,0.484849,0.464562,0.000000,0.189776,0.184742,0.000000,0.764033,0.003126,0.927915,0.000000,0.000000,0.372792
